platform,start_time,end_time,duration_seconds,jobs_found,jobs_saved,errors,error_count
indeed,2026-01-11 21:52:49,2026-01-11 21:53:40,50.593775,0,0,0,0
jsearch,2026-01-11 21:52:49,2026-01-11 21:56:27,218.118176,160,160,0,0
