platform,start_time,end_time,duration_seconds,jobs_found,jobs_saved,errors,error_count
indeed,2025-12-10 09:55:51,2025-12-10 09:56:46,54.841418,16,16,0,0
jsearch,2025-12-10 09:55:51,2025-12-10 09:58:29,158.162533,138,138,0,0
