platform,start_time,end_time,duration_seconds,jobs_found,jobs_saved,errors,error_count
indeed,2025-12-09 22:14:22,2025-12-09 22:15:30,68.306372,0,0,0,0
jsearch,2025-12-09 22:14:22,2025-12-09 22:17:00,157.722978,117,117,0,0
